,Global X,Global Y,Nestin,CK7,Megalin,N/A,CD14,CD20,N/A,Calbindin,Aqp2,N/A,aSMA,VCAM-1,N/A,Beta catenin,CD31,Vimentin,CD163,WT1,Seq 22,N/A,MCP1,LC3B,N/A,CD68,MPO,N/A,CD3,IL9,N/A,Seq 17,CD56,TNF-a
0,7572,6764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3361,23,1,4,1,1,118.5,1,609,364,1,85,190,36,1,1,362
1,479,3408,1,1,1,1,1,1,1,9704,9398.5,1,1,1,1,1,1,38631,1,555,1,1,1,158,1,657,1697.5,1,214,65,1,1,1251,1
2,393,2844,1,1,1,1,1,1,21609,50288,47140,1,1,1,1,1,1,1,1,591,1,1,1,402.5,209,683,2429,1,553,1,1,1,918,1
3,7005,8186,1,95,1,1,1,1,1,967,1,1,1,1,1,1,1,1,423,1,1,1,1,1,1,357.5,1,1,100,1,1,1,250.5,1
4,1829,1645,1,10670,1,1,1,1,1,7660,13688,1,1,1,6366,1,1,12621.5,1,1132,1,1,1,1,265,1,2346,1016,234,1,497,1,119,1
5,418,3572,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9290.5,1,555.5,1,1,1,1,1,301,1635,1,140,1,1,1,1179,1
6,7215,1194,1,1,543,1,1,84,1,6905,1,1,1,1,1,199,1,226,105,1,178,1,1,242,1,770,407,1,495,53,1,1,1,33
7,1059,2846,1,1,752,1,1,1,1,1848,3255,1,1,1,1,1,1,2307,1,465,1,2448,1,193,1,517,2271,1,101,85,126,1,142.5,1
8,6510,7780,1,1,1,668,1,1,1,7360.5,1,1335,1,1,1,1,1,15389,1,374.5,80,29,64.5,53,1,813,497,1,531,397,1,1,200,82.5
9,7139,8543,985,1,1,1,1,1,1,2952.5,14795,1,1,1,1,1,1,1,90,83.5,1,1,1,1,1,418.5,885,462,975,1,1,1,733,1
10,1817,3005,1,1184,1,1,1,1,106,5845,2281,1,1,1,1,1,1,1,1,166,1,1,1,701,50,1,3905,207,260,1,1263,1,921,1
11,7863,107,1,1,1,223,1,1,1,1361.5,27374,1,1,1992,1,1,1,1,1,306,1,167,1,1,1,637.5,963,1,1,1,1,1,983,1
12,7897,5123,1,11214,380.5,1,1,1,1,7309.5,50680.5,1,1,1,1,1312,1,1,252,675,1,1,1,1243,212,452,1341,1,242.5,150,1,1,482,1
13,6183,6645,1,4775,1,25587,1,1,1,7409,6329,1,1,1,1,1,1046,15329.5,1,365,1,560,1,1,1,223,1898,1,326,1,1,1,309,390
14,7253,5249,1,1,1,198,1,1,1,10071,4731.5,1,1,1,1,270,1,641,1,402,1,699,1,53,589,656,934,1,224,174,1,36,18,1
15,6830,5492,1,1,1,1,1,1,1,1185,1,1,1,1,1,1,1,51697,1,605.5,1,1,1,1,1,343,361,1,410,125,1,1,565,1
16,2359,156,1,1,1,688,1,1,1,1,1,1,1,1,1,1,1,485,169,1070,1,112,124,1,57,518,245,1,332,1,1,1,114.5,1
17,1271,2014,1,1,1773,1,1,1,1,1,6502,1,1,1,1,1845.5,1,1616,1,243,1,345,1,1,173,177,2964,325,50,1,1299,1,178,1
18,7348,6813,1,1,1,657,1,1,1,1,1,1,1,1,1,1,1,52840,100.5,466,1,1,1,1,1,15,458,1,115,1,36,1,1,1
19,7229,6748,1,40318,1,1,1,1,1,3176,17051,1,1,1,1,1,579,1,67,388,1,1,1,525.5,1,463,1060,1,419,192,36,1,598,12
20,6709,7344,246.5,1015,1,1,1,1,1,5979.5,4784,1,1,1,1,1,293,1328,213,560.5,314,1,54.5,1,1,673.5,1673,1,556.5,47.5,1,1,504,1
21,7649,7760,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48056,1,1055,1,89,376,1,1,52,252,208,1,479.5,226,1,1,39
22,7111,7498,1,1,3433,1,1,1,591,27,1,1,1,1,1,396,2875,31304.5,79,411,1,1,132,116,1,279,230,132,340,1,1,18,230,73
23,7310,8852,1,1,1,1,162,1,1,2970,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,1668,45,1,1,1,1,1,1
24,7828,1991,1,1,1,1,1,1,1,1107.5,19345,1,1,1,1,1,1,1,126,46,1,1,1,1,1,261,968,1,437,1,1,1,382,1
25,322,6092,1,1,1,1391,1,1,1,42150,44285,1,1,1,1,1,1,1,19,183,1,349,1,259,1,539,1089,10,379,1,1,2.5,578.5,1
26,826,2185,1,1,1,1,1,1,1,1920,971,349,1,1,1,933,1,19588,1,367,1,1,1,1,903,373,2832,1,1112,138,1,1,1220,1
27,7150,4914,1,37,1,1,1,1,1,2902,1,1,1,278,1,1,1,41,1,138,1,1,1,1,36,322,946,1,721,229,1,1,453,1
28,6970,253,1582,1,395,1,704.5,96,1,506,12523,1,1,440,1,1,331,1211,415,30,102,1,168.5,158.5,1,63,1139,1,222,301,1,1,373.5,300
29,657,3283,1,1,1,1,1,1,1,4428,6271,1,1,1,1,347,1,6401,1,1,1,1,1,106,1,348,3240,1,305,1,255,1,400.5,1
30,1581,3430,1,1,1,1,1,1,1,6594,6861,1,1,1,1,1,1,46093,510,948,1,291,1,16,1,1147,1366,1,664,1,1,1,862.5,1
31,8187,4254,1,1,1,1,1,1,1,1,44335.5,1,1,1,333,1,1,17375,669,1177,1,172,1,167.5,403,33,1998.5,1,2243,1,98,1,755.5,1
32,8255,4110,1,30715,1,44572,1,1,1,1776,46336,8491,1,1,333,1,1,1,1,960.5,102,574,1,296,1,408,1373,140,1599,323,98,1,239,1
33,1496,169,1,843,1,3522,6310,1,1,1,1,1,17286,1,1,13497,875,40113,489,81,1,1,1,1,693,1,756,1,1,1,241,1,674,1
34,1278,2489,1,1,517,1,1,1,1,5175.5,1691.5,1,1,1,1,1,1,3428.5,6,166,1,1,1,1,1,848,2130.5,24,154,1,130,1,939,1
35,6885,138,1,1,1,1,1,1,1,1393,43067,1,1,1,1,1,139,1,3.5,308,115,1,1,245,399,388,1671,1,361,318,1,1,1490,1
36,6357,8986,1,1,1,1,1,1,1,1,300,1,1,436,1,1,1,1,1,1,1,1,1,1,1,1,711,1,1,161,1,1,1,1
37,7093,7155,1,1,3165,1,1,1,1,1,5708,1,1,1,1,1,1950.5,1,1,1,373,83,1,399,1,337,1356,132,203,90,1,1,575,1
38,7267,6889,1,1,260,1,1,1,1,1,1,1,223.5,585,1,674,142.5,1,1,76.5,195,1,1,1,1,1,1273,1,506.5,277.5,1,146,569.5,1
39,6905,28,1,5008,1,1,1,1,1,12854,20456,1,1,1,1,1,1,1,1,1638,1,1,1,1,399,677,2568,1,260,1,1,160,1,1
40,7346,4561,1,4207,1,1,1,1,1,4037,9627.5,1,1,1,1,1,1,536,75.5,72,2,1,1,328,1,397,147.5,1,51,29,1,1,154,1
41,427,6070,1,1,476,546,3369,1,1,45699,40288,1,1,1,1,1,1,1,1,701,53,1,475,1,1,940,1656,10,677,40,1,1,1843,72
42,7484,2991,1,549,1,1,1,1,1,7396.5,1240.5,1,1,69.5,1,1,1,1966,420,343,1,225,1,39,1,545.5,242,1,415,159,1,1,421,1
43,7415,4770,379,1,124,1,1,1,1,1829,1003.5,1,1,295,1,1,571.5,652.5,194.5,1,1,1,1,276.5,1,272,1023,1,246,13,1,1,585,228
44,7194,3035,1,1,1,1,1,1,1,10515,24217.5,1,1268.5,1,1,97,1,1,1,71,1,410,26.5,1,1,815,1652,1,494,96.5,1,1,437,1
45,7178,8727,1,1,1937,1,1,1,1,3783,8631,1,1,1,1,935,1,1,71,393,5,1,1,155,1,496,929,45,1,76.5,1,1,232,1
46,6993,8010,1,30407,1,1,446.5,1,1,3462.5,20304.5,1,1,1,1,8894,2784,897,1,15,82,1,35,495,1,349.5,1060,1,12,326,1,36,1000,1
47,6955,7374,68,1,1,1,1,1,1,1,38225,1,1,1,1,1,1,1,1,87,347.5,83,315,523,1,44,900.5,132,400,1,1,1,1,1
48,1820,3398,1,1,1,1,1,1,1,5177.5,26709,1,1,1,1,1,1,1,1,482,1,291,1,185.5,463,784.5,994.5,1,884,1,1,1,628.5,1
49,5943,8385,1,1,1,1,24,1,1,1,1,1,1,1,1,1,1,6625,1,164,1,1,1078,324,1,312,375,1,369,1,1,1,1,1
50,796,4569,1,1,1,559,1,1,80,1,967.5,1,1,1,47036,1,1,50212,1,565,1,1,1,1,20,357,851.5,1,1,374.5,1,1,1166,1
51,7678,7854,1,43445,1,1,1,1,3586,2959,1,1,1,1,1,1,1,18013,57.5,1,1,11,1,53,629,211,1077,1,1208,205,226,1,174,1
52,7154,38,1,1,1,1,1,1,1,3064,50023,103,1,1479.5,1,1,1,1,1,430,1,1,1,1,1,806,1381,1,711,471.5,1,1,1291,1
53,171,4879,1,1,1,1770,1,1,1,11317,2629.5,1,1,1,1,1,1,4690,1,1452,1,1,1,78,1,178,1060,1,320,386,1,1,1,1
54,1010,3073,1,1,1,1,1,1,1,4236,3477,1,1,1,11479,1,1,1152,99,453,1,1,1,1,1,619.5,791.5,1,694,1,1,1,476,1
55,7313,2814,1,1,1,1,1,1,1,21475,43487,1,1,1,1,1,1,1,1,381,1,225,1,4,127,456,1761,367,878,1,1,1,964.5,1
56,7164,8564,1,1,1,1,1,1,1,2207,215,1,1,1,1,1,1,1,72,331,1,1,1,87,1,208,684,462,130,94,1,1,296,1
57,620,3474,1,1,1,1,1,1,1,1,8161,1,1,1,1,1,1,36406,424,810,1,1,1,331,1,687,3172,1,435,1,1,1,1427,1
58,1679,3831,1,1,1,1,1,1,25,1,1859.5,1,1,1,1,1,1,50357,257,1550,1,291,1,205,13,71,767,1,1,1,1,1,771,1
59,7133,7640,1,1,1,1,209,1,591,2750,4880.5,1,280,770,1,1,1,1,65,31,1,1,214,1,1,347,1120,132,196,80,1,26,450.5,1
60,8272,234,215,1,1,1,1,1,1,5285,29889.5,1,1,198.5,1,1,1,102.5,349,496,1,1,1,256,1,421,1969.5,1,354,282,1,1,355.5,1
61,6934,1766,1,1,1,1,1,1,1,4497,44082,1,1,1,9101,1,267.5,1,1,187,178.5,1,1,1,1,186,876,1,265,16,1,1,121,1
62,2451,699,1,1,1,1,1,1,1,1,1,1,141,1,1,1,1,43783,1,459,1,8,1,1,71,476,594,1,847,90.5,1,1,577,1
63,7537,3401,1,1,1,20458,3339,1,1,1,1,8473,1,1,1,1,1,38019,1,573,1,1,1,81,1,707,870,2420,54,1,20,1,960,1
64,222,3584,1,1,1,1,1,1,1163,1,1,1,1,1,1,1,1,24551,182,2557,1,1,1,1,1,1,916,1,1,1,1,1,385,1
65,1439,1651,1,1,1,180,1,1,1,7101,3125,1,1,1,1,1,1,46826,1,108,1,1,1,1,1,1510,3128,325,1778,759,1,1,1344,1
66,7564,4753,196,1,1,1,1,1,1,1,3250.5,1,1,1213,1,1965,1,6.5,1,87,1,1,1,589,1,1,783.5,1,296,245,1,1,315,66.5
67,7956,3416,1,1,1,1,1,1,1,1,1,1,1,1,17329,1,1,17302,49,795,1,1,1,325,1,709,1193,370,566,1,1,1,159,1
68,6625,8592,80,1,1,1,1,1,1,1,1,1,562.5,1694,1,154,1,1,1,1,1,337,1,1,1,317,1,61,380,567,1,1,1,1
69,735,2242,1,1,499,1,1,1,696,3751,1,1,1,1,1,1,1,1,8.5,477.5,1,1,1,597,1,543.5,2738,50,349,156,1,1,910,1
70,6770,6315,1,1,1,1,1,1357,1,10631,1281,1,1,1,1,1,1418,19355,1,257,1,1,356,598,1,1556,687,1,413,56,1,1,645,1
71,7922,275,1,500,1,1,326,1,1,604,13231,1,1,1,1,1,1,1,1,129,1,1,1,1,1,37,921.5,1,817,1,1,1,378.5,1
72,6691,1622,1,22304,1,1,1,1,1,1,1,564,1,1,1,432,1,1,1,1,1,1,1,1,1,1,103,1,664,1,1,158,1,1
73,379,6549,1,1978,1193,1,1,2230,226,3130,1,1,1265,1,1,1,1,19508,237,302,283,1,1,269,256,745,43,1,495,1,1,1,125,948
74,7124,8643,1,1,1,1,1,1,1,7636,13873,1,1,1,1,1,1,1,1,573,1,1,1,232,1,588,1682,45,528,1,1,1,641,1
75,7661,5456,1,1,1,1,1,1,1,2278,9767,1,1,1,6267,1,1,1,25,793,1,1,1,167,26,459,826,1,427,680,148,1,659,1
76,317,6020,1,1,1,546,1,1,1,30314,17718,1,1,1,1,1,1,46855,1,684,204,1,1,18,1,101,1527,10,1,309,1,1,1,1
77,7178,2861,1,1,336,1,1,1,1,3085,1107,1,1,1,1,820,1,1,1,111.5,152,410,1,1,127,45,1204,367,216,1,1,1,315,1
78,1152,2074,1,1,1407,1937,1,1,1,9475,8480,349,1,1,1,774,1,5297,31,500,1,1,1,934,173,1081,2807,1,215,1,271,1,671.5,1
79,7926,302,1,1,1,1,1,1,1,1,28663,1,584,1,1,1,1,1,195.5,435,153,1,1,115,1,1,1857,1,844.5,271,1,1,118,1
80,821,2473,1,1,1,1,1,1,696,16048,10116,1,1,1,1,1636,1,1,1,388,1,1,1,1,1,1179,2825,50,90.5,1,1,1,130,1
81,1026,3094,1,1,1,1,1,1,1,12460,10434,1,207,1,11479,1,1,199.5,1,235,1,1,1,143.5,1,1707,3023,1,1293,1,1,1,1039,1
82,7318,8948,1,1,1,1,1,1,1,12027,4653,1,1,60,1,1,1,1,1,309,1,1,1,1,1,1297,1116.5,45,345,490,1,1,41.5,1
83,7788,1362,1,1,1,1,1,1,1,5829,1,539,1,1,1,5313.5,1,16458,1,144.5,1,1,1,154,1,511,42,1,509,385,1,1,559,61.5
84,480,2722,1,1,1,1,1,1,1,16306,12807,1,1,1,947,338,1,4675,1,629.5,1,1,1,196.5,35,1064,3694,1,362,1,1,136.5,99,77.5
85,1449,4358,1,1,1,7,1,1,26,3439,8325,1,1,1,1,1,1,44727,519,662,1,56,1,1,1,1331,2084,1,1429,1,1,1,647.5,1
86,7294,7960,1,1,1,1,1,1,1,2011,16838,1,1,1,1,1,1,1,1,1,86,1,1,1,1,219,1282,1,327,1,1,1,71,1
87,6920,8437,1,26376,1,1,1,1,1,9041,8398,1,1,1,1,1,1,1,1,552,268.5,1,1,205,1,680,801,1,351.5,71,1,83.5,186,1
88,8635,1039,1,1,1,1,1,1,51,1,1133,1,1,1,1,1,1,702,46,496,40,1,1,565,160,153,958,1,288,114,1,1,622,159
89,6714,8578,1,1,692.5,1,1,575.5,1,106,5793,1,1,492,1,1,1,1,1,106,220.5,337,32,491,1,285,1006.5,61,225,398,1,1,1,1
90,8131,2944,2643,1,1,70,1,1,1,1037,9580,1,1,1,1,1,1,1,459,266,1,2,1,14.5,1,115,2647,103,373,426,1,1,99.5,1
91,7083,8167,1,1,1,1,1,1,1,1967,367.5,1,1,351,1,292,768,731,15,238,1,1,1,97,1,592,569.5,1,140.5,275,1,39.5,649,1
92,6809,7769,1,1,93,1,1,1,1,589,1309,1,1,1,1,1,1,1,1,35,92,1,1,264,1,389,760,1,146,48,1,1,232,24
93,6433,8947,1,209.5,992,1,1,1,1,1560,12630,1,49,1171,1,1,1,1,1,156,173.5,1,1,1,1,476,791,1,308,418,1,1,11,1
94,7158,8643,1,1,1,1,1,1,1,3591,10836,1,1,1,1,1,1,1,1,1,1,1,1,1,1,190,620.5,45,34,100,1,1,87,1
95,8418,947,1,1,1,1,738,1,1,9940,1,1,1,616,1,1,1,43520,1,493,211,1,182,239,1,539,373,1,845,355,1,40.5,85,1
96,7702,5845,1,1,220.5,1,1,1,1,280,4563,1,257,1425,6267,1,1,3684.5,79,736,100.5,1,1,285,1,154,869,1,541,351,148,1,304,132.5
97,6748,4636,1,7548,1,1,1110,1,20,3973,25435,1,1,1,1668,1,1,8719,1,344.5,1,1,220,1,76,368,2089,1,207.5,1,35,1,1034,1
98,7393,5850,1,1,1,1,1,530.5,1,1148,11297,1,1,171.5,1,1,1,4023,215,586.5,1,1,82.5,624,1,413,1319,1,1316,383.5,1,1,809,1
99,1794,2738,1,1,1,644,1,1,1,1,5419.5,35,1,1,1,1,1,14840,1,522,1,124,1,90,1,284,2238,32,576,1,1263,1,609,1
100,7279,7982,1,1,1,1,1,1,1,862,25553,1,1,293,1,1,1,1,1,138,5,1,1,1,1,42,1059,1,609.5,66,1,1,409.5,1
101,7093,7018,2017,1,1,1,170.5,1,1,3333,9967.5,1,1,5277,1,1,1,1,364,172,1,1,1,75,1,206,1593,1,1,849,1,1,92,1
102,7381,5513,1,1,1,198,1,1,1,696,2237,1,1,1049,1,1,1,1,44,302,1,699,1,42,589,64,2213,1,311,24,1,1,92,1
103,665,4979,1,1,1385,1,1,1,1,7783.5,10882.5,1,1,1,1,1370,1,1,52,390,1,1,1,24.5,1,658,2868,1,1,147,1,1,722,1
104,1488,2423,1,10806,1,6491,1,1,1,1,1,1,1,1,1,1,1,1,1,468,1,312,1,170,1,723,2597,24,775,22,130,1,609.5,1
105,5883,8778,1,1,1,1,1,1,1,12956,1,1,730,1,1,1,2889,1580.5,1,549,1,1,1,1,1,530,1,1,1095,1,159,1,1407,1
106,7156,8420,1,1,1,1,1,1,1,6954,54263,1,1,1,1,1,1,1,1,1,56,1,1,1,1,295.5,582,462,416,1,1,176.5,188,103
107,6314,8281,1,1,1,1,1,1,1,791.5,9085,1,1,1,1,1,445,54222,473,1365.5,1,337,148.5,68.5,1,345.5,1717,1,249,477,1,1,1584,1
108,7694,4648,1,39249,1,1,1,1,1,16944,22709,1,1,1,1,1,1,1,1,564,1,47,1,230,1,1105,1078,1,477,1,1,1,945,1
109,1457,3026,1,1,1,1,1,1,1,8338,12389,2132,1,465,1,1,1,49.5,1,965,1,1,1,347,1,806,2154,689,470,360,1,1,987,1
110,1611,4083,1,5656,1,18,1,1,1,8889,3429,15,1,1,1,1,1,49284,35.5,1982,1,1,1,16,122,860,2250,4,1,1,1,1,720,1
111,7182,1536,189,9320,575,1,1,1,1,5575,3387,1,1,1,1,1,1,1,95.5,400,414.5,692,1,75,1,352,168,1,468,1,1,1,1,141
112,6722,4624,1,1,1,1,1,1,20,1,1,1,1,1,1668,1,1,12109,193,139,1,1,1,1,76,1201,407,1,517,1,35,75,1,1
113,7007,7321,1,1,1,1,1,1,1,1,40271,1,1,1,1,1,1,1146.5,1,216,203,83,1,627,1,356,947,132,446,72,1,1,162,169
114,6271,8826,1,12505.5,1,1,1,1,1,10376,153,1,1,1,1,1,1,12257,1,1,1,1,1,220,1,1111,188,1,662,1,1,1,1806,1
115,6774,4009,1,1,1,1,1,1,1,7794.5,17559,1,1,1,1,1,1,1,124,99,38,1,1,493,1,817.5,2398,1,655,105,1,1,304,1
116,6997,8478,1,5550,170,1,1,74,1,651,1918,1,1,506,1,1,1,1,16,865,359,1,1,424.5,1,116,321,612,1062,1,1,17.5,181,1
117,6688,7816,1,1,1,1,1,1,1,12200,7483,1,1,1,1,1,1,1,1,1,1,1,1,199,1,1444,1086,1,1,1,1,1,779,1
118,6732,8450,1,1,1,1,1,1,1,3734,12959,1,1,1,1,285,1282.5,1,1,12,1,337,13,342,1,586,1141,612,490,1,1,1,473.5,1
119,8085,3861,1,11967,1,44572,1,1,1,17817.5,5031,1,1,1,333,1,1,401.5,531,772,1,574,1,398,1,1253.5,522,111,255,260.5,98,1,1415,1
120,7238,4490,229,9024,1,1,1,1,1,1,3812,1,1,1,1253,888,1,1,243,498,1,1,1,1,1,1,427,1,562,1,1,116,1,1
121,6653,8817,833.5,1,1,1,1,1,1,1,2873,1,400,704,1,1,419,1,175,41,1,337,1,163,1,1,972,61,417.5,329,1,1,774,11
122,7178,7484,1,1,1,1882,1,1,591,1,1737,1,1,1,1,611,1,10.5,1,531,1,251,1,1,1,280,1132,132,680,1,1,234,202,1
123,7426,4198,1,14226,1,1,1,1,1,4315,1,1,1,1,1253,54,1,1,1,156,1,1,1,38,1,761,441,1,257,205,1,1,215,1
124,7006,1896,1,26961,1,1,1,1,49,2754,22197,1,1,1,1,1,1,1,251.5,965,1,1,1,310,3,221,1479,1,448,1,105,15,252,1
125,7182,8866,1,1,1,1,1,1,1,3892.5,434,1,1,1,1,1,1,1,1,373,1,1,1,66.5,1,143,442,45,279,1,1,1,330,1
126,6513,3102,1,1,1,1,1,1,2,1065,1,1,1,1,1,1,1,2233,1,207,4,1,29,51.5,1,307,307,1,222,1,1,32,362,1
127,7315,8816,454,1,1,1,1,1,1,3366,7113,1,1,1047,1,1,1,1,322,91.5,1,1,1,1,1,1200,876,45,259,204,1,1,291,1
128,2042,2575,1,13959,1,110,1,1,1,6756.5,1,1,1,1,1,1,841.5,33890,1,302,1,21,1,1,5,1106.5,761,26,560,1587,1,85,610.5,348
129,517,3638,1,1,1,1,1,1,1,1,3490,1,1,1,1283,1,1,13324,1,2313,1,1,1,874,1,268,1669,1,722,1,1,1,2289,1
130,7413,7036,1,12901,1,657,1,1,1,2044,40706,1,1,1,1,1,1,1,146,331,1,1,1,24,1,250,858,55,866,34,1,1,428,1
131,6698,4033,1,1,1,1,1,1,1,7005,11468,1,1,1229.5,1,251,1,1,1,290,1,1,1,164,1,764.5,1759,1,65,227,1,1,230,1
132,6769,1340,1,2810.5,1,1,1,1,1,6625.705497,40515.5,1,1,1,765,1,1,1,1,232.5,1,1,1,197.5,1,491.5,1077.5,421,785,51,1,1,399,1
