Global X,Global Y,CD45RO,N/A,CD31,N/A,N/A,N/A,N/A,pan-CK,PD-1,Ki-67,cyclin D,b-actin,CD3,CD4,N/A,CD16,N/A,N/A,PD-L1,ATPase,Granzyme B,P53,NF-kB,PTEN,p-ERK1/2,N/A,Caspase 3
12701.0,2653.0,468.84,392.16,572.88,483.86,495.56,413.55999999999995,334.32,364.78,434.52,493.69,360.27,385.1,568.56,418.84000000000003,410.46000000000004,335.91999999999996,383.48,400.0,375.5,418.70000000000005,300.28,381.46000000000004,381.28,425.15,376.42999999999995,394.14,431.84000000000003
22364.0,6033.0,446.3,436.08,478.44,430.86,435.13000000000005,495.14,460.16,439.88,490.33,489.11,364.1,478.5,498.0,458.62,515.58,446.78,374.18,455.18,435.28,483.21999999999997,448.58000000000004,402.06000000000006,400.58000000000004,396.18,338.15999999999997,491.5,353.9
9678.0,8473.0,597.96,500.42,492.0,597.88,428.98,483.66,590.98,523.58,474.24,493.73,424.08,528.58,692.6600000000001,436.78,456.98,542.0,485.95,510.65999999999997,480.94,490.96,482.99,487.26,490.28000000000003,552.0799999999999,522.63,490.20000000000005,499.95000000000005
14269.0,18304.0,204.7,220.19,211.2,209.79000000000002,213.2,200.28000000000003,210.98000000000002,210.60000000000002,209.45,212.58,211.79,192.3,211.8,207.5,195.98000000000002,212.08,218.08,209.10000000000002,204.08,201.58,200.26,208.60000000000002,218.37,212.98000000000002,190.8,215.78000000000003,212.10000000000002
5326.0,2654.0,394.57000000000005,364.21,431.94,402.96000000000004,445.31000000000006,401.68,299.28,400.24,378.68,420.69000000000005,369.39000000000004,439.1,513.36,415.00999999999993,446.58000000000004,363.1,437.03999999999996,419.02,425.62,459.24,464.58000000000004,419.18,419.76,420.68,288.03999999999996,430.64,324.46000000000004
17612.0,11685.0,378.21999999999997,405.26,349.96000000000004,448.7,447.41999999999996,397.58000000000004,487.18,508.74,405.84,451.3,425.24,479.92,550.38,616.88,492.7,397.48,442.1,328.9,541.06,535.38,495.06000000000006,478.74,450.79,445.65,309.38,518.0699999999999,377.8
2848.0,19665.0,488.68,551.22,463.92,384.87,451.04,401.28,316.6,267.36,532.3,371.17999999999995,536.86,460.5,595.46,416.16,456.41999999999996,378.86,501.22,478.3,369.40999999999997,511.11,549.22,531.52,467.53999999999996,490.26,452.55,471.24,385.96000000000004
12323.0,22037.0,320.4,303.64,300.8,319.08000000000004,314.65999999999997,307.28999999999996,302.58000000000004,302.18,291.28,306.8,326.73,308.05,325.86,287.3,332.3399999999999,305.33000000000004,310.88,311.0,285.98,316.43,314.03,303.20000000000005,323.9,295.0,304.78,298.4,300.20000000000005
1059.0,17193.0,555.2,335.78,424.08,818.9000000000001,339.4,819.49,255.9,790.0,541.47,406.20000000000005,835.6800000000001,581.33,272.9,261.68,580.25,645.3399999999999,647.48,594.75,420.36,319.84000000000003,419.1,585.78,294.78,380.17,519.7,284.26,278.20000000000005
1101.0,8763.0,289.20000000000005,440.66,347.78,343.28,275.6,518.8,276.16,275.88,469.72,301.28000000000003,377.85,342.1,337.84000000000003,294.62,411.89,324.34000000000003,280.74,302.98,442.8,339.5,486.95,395.97,327.58000000000004,346.84000000000003,480.92,310.22,717.22
14337.0,20720.0,209.58,208.64000000000001,202.78000000000003,213.5,216.2,206.8,212.35,211.35000000000002,207.2,206.26,213.28000000000003,209.38,211.58,230.58,215.4,211.2,214.88,206.04000000000002,206.88,212.44000000000003,212.24,216.28,212.2,209.7,208.69,205.4,202.18
7237.0,2485.0,360.96,260.70000000000005,403.70000000000005,337.66,282.84000000000003,399.98,289.96000000000004,395.53999999999996,307.20000000000005,456.9,326.1,373.16,311.86,320.24,283.98,333.36,378.65,422.32,165.08,317.18,387.5,331.12,296.15999999999997,316.48,285.1,397.88,386.5
2140.0,5620.0,353.56000000000006,375.96000000000004,371.3,442.48,320.76,594.48,453.34000000000003,479.92,435.64,358.77,459.06000000000006,611.58,604.7,365.14,538.48,393.21000000000004,566.74,268.58000000000004,331.74,590.42,537.88,392.08000000000004,683.76,667.2,262.6,639.26,458.01
22581.0,21743.0,223.88,255.18,276.38,271.78,207.38,237.36,200.7,236.16,255.5,272.3,272.13,257.48,225.68,213.48000000000002,262.53000000000003,250.4,230.78000000000003,288.20000000000005,290.26,255.9,248.13000000000002,280.65999999999997,232.18,256.14,280.18,241.37,249.6
3733.0,21359.0,290.84000000000003,295.22,312.2,302.96000000000004,277.53999999999996,314.65999999999997,278.31,288.20000000000005,304.78000000000003,303.48,301.0,295.15999999999997,292.28,280.70000000000005,288.18,304.07,299.38,294.1,301.06,267.88,302.3,282.94,266.9,271.68,305.03,279.98,285.58000000000004
21121.0,5147.0,801.94,805.4000000000001,743.9000000000001,834.14,685.4000000000001,600.24,686.5799999999999,883.1800000000001,728.72,774.1,766.32,501.86,728.42,703.22,578.14,637.1100000000001,949.86,712.6200000000001,292.68,593.44,799.4000000000001,680.3199999999999,828.0,446.4,369.18,550.6800000000001,866.88
21084.0,5115.0,801.94,507.56000000000006,751.46,699.28,624.3,580.9000000000001,526.26,502.98,728.72,742.29,726.6199999999999,535.3,611.9000000000001,525.94,469.48,612.32,342.38,358.67999999999995,520.3,593.44,407.38,453.0,828.0,477.38,387.18,656.0799999999999,404.26
1797.0,20148.0,261.58000000000004,326.58000000000004,445.67999999999995,482.71999999999997,326.58000000000004,327.78,497.66,299.5,273.8,618.24,419.9,680.5799999999999,341.94,351.15999999999997,647.48,406.70000000000005,409.9,456.83000000000004,405.78,477.41999999999996,392.86,483.04,405.36,483.24,453.3,330.88,471.64
5482.0,22645.0,324.3,297.88,428.76,288.56,311.53999999999996,509.84000000000003,277.58000000000004,418.38,285.8,308.08000000000004,394.62,307.9,373.58000000000004,558.64,296.08000000000004,327.1,335.46000000000004,296.96000000000004,354.7,302.06,323.70000000000005,291.28,317.58000000000004,305.0,304.68,344.18,297.28
19397.0,1550.0,561.2,563.26,589.86,532.4200000000001,484.22,416.28,500.49,482.71000000000004,501.18,576.98,558.04,480.38,485.48,507.38,429.79999999999995,387.98,435.82,519.2,403.32,384.62,412.64,421.94,391.14,435.89,422.26,365.78,416.58000000000004
10504.0,10976.0,297.46,260.28,325.59999999999997,275.28,270.18,278.28,271.78000000000003,274.3,286.28,300.36,324.70000000000005,269.68,328.41999999999996,316.56000000000006,286.58000000000004,335.98,283.08000000000004,292.38,303.4,278.12,277.98,276.6,338.22,276.74,315.12,269.4,337.28
6510.0,21620.0,364.86,378.88,390.81,434.65,407.59000000000003,388.62,398.52,364.18,395.24,427.28000000000003,403.48,397.48,385.15999999999997,441.28,429.71000000000004,391.21000000000004,277.38,372.08000000000004,402.46000000000004,362.20000000000005,347.18,359.36,429.84000000000003,302.96,353.40000000000003,371.33,390.69000000000005
10421.0,20427.0,219.4,203.4,206.5,209.60000000000002,204.2,213.3,219.68,212.7,203.9,217.38,215.4,203.28000000000003,224.10000000000002,218.10000000000002,207.78000000000003,231.3,207.7,209.58,195.2,197.10000000000002,215.88,201.2,209.4,215.10000000000002,224.5,219.9,216.10000000000002
4803.0,17887.0,2955.54,2011.1999999999998,2070.62,245.18,348.70000000000005,2109.38,1237.76,2237.33,405.48,1452.3000000000002,528.5600000000001,286.38,423.12,538.8199999999999,2904.26,633.6999999999999,1492.3200000000002,823.0799999999999,377.20000000000005,300.88,321.16,253.7,528.96,255.4,262.84,2512.88,543.7
8246.0,10993.0,368.03999999999996,277.5,350.68,287.28,331.26,317.53999999999996,331.68000000000006,331.34,262.7,393.96000000000004,359.82,355.06000000000006,238.96000000000004,287.99,289.74,281.26,321.59000000000003,307.08,296.03999999999996,258.70000000000005,377.8,318.16,450.68000000000006,319.18,322.9,328.52,378.78
21775.0,13516.0,318.58000000000004,968.48,2508.54,370.68,348.6,1569.69,1705.02,3057.48,919.2099999999999,2262.38,1720.7,1390.18,1702.34,1621.5400000000002,765.97,2091.59,2458.78,1088.44,1755.43,2277.62,1739.3100000000002,580.4300000000001,3078.16,2458.5800000000004,918.8000000000001,2394.46,779.8399999999999
8819.0,1536.0,413.0,390.75,391.69000000000005,398.96000000000004,389.63,377.91999999999996,391.70000000000005,390.51000000000005,358.98,421.52000000000004,372.9,384.78,336.4,373.98,354.09000000000003,368.88,366.06000000000006,324.1,403.96000000000004,393.91999999999996,431.99,304.3,374.88,430.8,287.68,291.28,380.58000000000004
3483.0,20957.0,370.76,421.36,476.65999999999997,535.1800000000001,453.06000000000006,438.74,480.55,583.78,531.1800000000001,605.3900000000001,512.6800000000001,484.88,344.18,485.34,458.99,436.32,430.44,479.14,607.52,472.84,498.22,490.38,559.78,466.18000000000006,335.32,391.48,484.04
22392.0,13226.0,211.9,232.9,234.5,247.69,231.88,275.49,227.4,277.9,226.98000000000002,237.4,230.38,269.5,231.0,219.58,257.18,268.68,283.5,267.28000000000003,231.8,272.86,230.06,233.0,216.16,206.7,204.38,271.28,215.45999999999998
22475.0,17427.0,254.0,293.14,276.84,328.38,281.49,333.69,328.4,262.52,219.9,262.03999999999996,227.26,291.89,212.98000000000002,254.54000000000002,317.96000000000004,266.5,252.08,280.76,271.59000000000003,268.37,215.10000000000002,239.8,262.68,234.0,295.91999999999996,306.79,262.78
1789.0,17864.0,216.10000000000002,250.7,247.51999999999998,300.8,206.9,207.8,213.88,261.2,217.5,225.28,254.10000000000002,283.24,226.13,241.08,239.12,296.67,285.3,287.1,217.38,243.09,290.58000000000004,273.17,226.8,218.10000000000002,303.03999999999996,274.55,215.7
18313.0,21214.0,265.3,304.58000000000004,248.8,251.4,273.2,256.69,228.76,253.02,319.5,334.6,320.70000000000005,328.3,336.98,262.48,338.54,307.38,319.59000000000003,298.5,353.78,238.4,293.72,265.08000000000004,289.6,254.74,244.14,314.33,241.02
9184.0,9788.0,304.56,265.1,308.46000000000004,453.88,415.65,371.17999999999995,306.9,377.77,375.53999999999996,507.18,474.70000000000005,322.55999999999995,369.34000000000003,500.08000000000004,270.96000000000004,267.1,383.55,355.56000000000006,246.08,351.01,337.66,380.98,498.04,409.4,403.58000000000004,251.3,312.56
7507.0,5560.0,520.08,348.88,351.98,450.26,487.36,380.87,407.64,460.26,295.58000000000004,592.78,466.98,469.16,502.1,401.48,464.7,346.66,388.72,462.8,424.66,409.84000000000003,409.26,370.08000000000004,479.18,476.74,280.6,451.20000000000005,494.34000000000003
10370.0,1583.0,509.44,435.48,381.70000000000005,448.1,563.7,445.14,419.43000000000006,451.28999999999996,269.78,508.64,402.3,401.14,559.6800000000001,256.34000000000003,404.52,479.78000000000003,523.96,242.60000000000002,335.34000000000003,405.76,383.84000000000003,292.26,546.04,295.96000000000004,392.76,389.1,553.48
20542.0,12222.0,366.0,434.03,437.9,464.66,383.98,436.78,382.38,413.39,357.65999999999997,504.21,514.0,434.2,499.47999999999996,362.18,484.14,475.96000000000004,453.93000000000006,343.5,349.5,350.3,317.68,382.9,468.15999999999997,383.06000000000006,447.69000000000005,420.3,362.20000000000005
21721.0,4858.0,591.8,360.36,396.88,574.88,553.28,533.8499999999999,391.78,540.22,470.08000000000004,402.3,471.14,498.70000000000005,414.48,546.6600000000001,512.19,403.26,536.26,391.28,497.01,398.70000000000005,462.44,410.18,392.20000000000005,408.88,408.64,412.28,428.46000000000004
2416.0,2239.0,415.5,361.96000000000004,252.10000000000002,392.56000000000006,377.01,401.28,305.9,395.46000000000004,361.70000000000005,408.03999999999996,392.6,371.48,419.26,469.58000000000004,396.96000000000004,438.74,403.29,435.52,275.56,389.20000000000005,394.36,251.10000000000002,392.72,415.95,265.08000000000004,375.28,233.4
954.0,20384.0,369.76,266.18,366.48,395.96000000000004,332.95,409.83000000000004,350.0,401.4,386.86,408.09000000000003,332.83000000000004,354.34000000000003,383.96000000000004,400.98,342.1,364.99,376.17999999999995,405.18,364.14,354.9,322.9,363.76,400.08000000000004,323.62,366.8,360.25,350.25
21293.0,16904.0,199.0,213.0,196.5,208.10000000000002,202.08,196.2,205.5,229.60000000000002,222.74,197.7,221.96,194.94,218.28000000000003,199.28000000000003,212.3,209.68,202.2,217.66,199.33999999999997,188.28000000000003,211.2,199.76,212.7,203.78000000000003,224.60000000000002,219.68,203.2
22457.0,12043.0,325.4,361.97,297.3,303.76,372.88,230.18,326.06,341.72,286.08000000000004,314.47,426.97,266.48,248.12,231.38,287.89,248.88000000000002,361.5,321.28999999999996,366.6,362.55,387.0,363.06,245.78000000000003,226.3,386.51,349.38,230.5
17347.0,20734.0,217.58,207.47,198.38,207.48000000000002,197.8,203.2,202.19,205.38,197.26,209.19,205.3,198.34,201.74,211.7,200.10000000000002,207.3,196.8,205.68,209.48000000000002,201.98000000000002,199.5,216.08,193.26,209.86,201.0,208.43,203.93
