Unnamed: 0,Global X,Global Y,CD45RO,N/A,CD31,N/A.1,N/A.2,N/A.3,N/A.4,pan-CK,PD-1,Ki-67,cyclin D,b-actin,CD3,CD4,N/A.5,CD16,N/A.6,N/A.7,PD-L1,ATPase,Granzyme B,P53,NF-kB,PTEN,p-ERK1/2,N/A.8,Caspase 3
115,975,3374,574.29,519.94,478.68,485.2,413.17,394.53,466.96,373.58,543.38,512.51,556.61,603.88,409.61,405.02,578.38,454.7,400.58,453.13,479.04,605.35,484.84,553.48,483.38,529.64,546.44,446.3,465.13
186,886,1518,384.9,380.62,367.6,353.78,364.78,397.73,365.48,366.46,372.96,310.1,487.08,315.38,422.7,326.16,343.06,373.37,320.1,358.52,358.32,324.0,274.18,406.36,317.5,366.08,321.18,345.48,428.48
197,2688,3291,487.37,496.0,467.82,434.73,429.18,451.47,407.86,436.98,423.48,392.87,547.5,509.74,630.24,507.58,464.89,519.48,456.38,540.98,560.72,381.28,505.9,446.1,441.58,414.78,410.52,484.88,475.6
203,2265,3235,552.36,615.66,529.48,469.66,535.09,543.22,482.16,517.13,527.9,657.28,629.1,618.25,670.22,661.46,671.5,552.88,555.43,619.94,595.24,592.8,643.0,606.59,530.9,628.32,512.0,573.74,534.16
214,1541,551,507.02,462.44,536.02,503.06,473.3,522.74,527.97,632.47,532.78,487.33,474.3,475.88,444.62,436.13,510.9,335.84,345.46,365.96,406.36,595.5,486.08,673.83,501.17,509.66,605.02,606.52,590.4
224,3424,1226,556.12,468.38,383.38,591.4,474.78,573.44,496.7,473.28,354.76,535.93,453.11,610.0,379.2,543.22,452.96,538.82,305.28,501.1,503.97,474.55,305.5,522.34,551.36,529.59,507.28,556.88,436.92
228,2277,3442,646.6,581.48,605.62,729.55,763.13,699.9,640.38,725.08,711.64,697.42,623.89,576.68,653.74,807.9,561.05,487.95,554.83,594.58,592.51,816.7,719.65,600.44,662.78,734.58,696.8,580.54,672.67
246,2921,3168,428.35,332.17,323.3,355.94,395.18,424.2,338.97,389.74,452.99,452.8,407.74,488.3,251.96,328.22,377.88,323.5,377.18,430.36,355.03,470.3,441.85,254.4,403.58,403.14,462.84,470.42,414.76
260,2454,2256,403.8,370.34,359.58,322.46,358.1,323.38,331.44,299.06,368.04,409.7,391.04,381.9,367.96,441.04,336.27,445.6,357.33,416.82,278.4,360.88,351.78,291.7,395.8,367.36,263.48,350.13,231.58
277,383,2419,482.69,438.7,498.41,429.98,417.98,401.0,460.17,444.32,385.8,520.68,414.43,430.02,503.4,561.7,594.68,321.24,526.26,371.48,543.84,622.96,332.5,391.38,490.08,458.5,261.86,365.88,367.09
