	Global X	Global Y	CD45RO	N/A	CD31	N/A	N/A	N/A	N/A	pan-CK	PD-1	Ki-67	cyclin D	b-actin	CD3	CD4	N/A	CD16	N/A	N/A	PD-L1	ATPase	Granzyme B	P53	NF-kB	PTEN	p-ERK1/2	N/A	Caspase 3
0	16278.0	19904.0	477.6	647.9	529.06	511.7	531.38	615.44	533.3399999999999	519.64	514.1	587.48	537.1800000000001	571.02	565.79	570.28	559.02	554.3399999999999	557.61	554.87	643.48	549.57	579.4300000000001	517.63	514.36	515.2	562.8199999999999	546.8	528.99
1	21529.0	8163.0	608.76	535.7	515.21	533.19	541.44	526.98	541.64	520.24	498.06	465.28000000000003	510.88	508.99	612.3	544.2	530.3399999999999	485.58000000000004	471.6	458.7	509.44	458.69	440.65999999999997	534.31	514.04	516.36	560.86	471.56	484.94
2	10381.0	18310.0	547.08	533.34	484.92	502.74	528.9300000000001	531.38	512.54	558.9200000000001	525.54	527.52	535.0	565.5	529.76	538.45	532.3	597.2	514.3399999999999	425.58	520.8399999999999	567.47	567.12	566.46	533.28	487.1	546.36	502.58000000000004	510.01
3	15805.0	10750.0	451.78	511.28	425.26	364.27	449.42	436.13000000000005	418.08000000000004	407.58000000000004	468.26	433.18000000000006	414.18	473.96000000000004	418.44	393.6	446.88	421.38	458.41	456.51	309.4	408.89	410.22	432.02	437.93	500.19000000000005	422.43	485.58	451.83000000000004
4	8175.0	12596.0	369.82	396.46000000000004	500.1	440.31	465.79	430.58000000000004	408.08	413.13	445.58000000000004	386.38	384.59000000000003	493.56000000000006	371.73	388.4	383.98	447.36	483.88	489.1	509.90000000000003	456.65	461.2	442.74	438.93000000000006	441.11	406.36	412.28	436.4
5	5609.0	8493.0	552.28	580.4000000000001	592.08	586.92	631.86	601.3	588.27	503.68	616.94	583.6	499.49	657.72	544.57	624.69	647.96	519.15	553.75	507.57000000000005	613.2	491.1600000000001	679.2	569.06	549.02	523.56	368.08	649.76	598.44
6	2212.0	12121.0	352.3	339.57	340.98	358.14	351.0	355.82	327.0	343.72	377.18	349.99	339.93	386.4599999999999	341.65999999999997	343.87	351.88	353.99	347.96000000000004	315.06000000000006	388.22	368.28	312.36	352.22	375.54	364.8	381.04999999999995	368.51	373.6
7	536.0	6515.0	397.33	388.09	390.44	387.0	419.88	364.36	392.28	404.86	367.6	393.39	376.68	413.8	389.58000000000004	366.89000000000004	365.08000000000004	389.85	397.32	381.40999999999997	503.22	414.6	441.09000000000003	430.44000000000005	363.68	380.59999999999997	383.94000000000005	396.39000000000004	454.78
8	6498.0	14728.0	538.7	481.96000000000004	491.29	470.68	441.38	494.78	494.4	501.71000000000004	537.3	494.04	489.76	485.99	605.95	504.09000000000003	472.0	562.73	558.54	607.9000000000001	429.6	482.13	510.38	523.48	539.3	426.40000000000003	328.71	528.7900000000001	523.86
9	10693.0	12743.0	382.62	379.24	350.77	359.98	314.67999999999995	342.38	334.78	346.1	296.9	317.87	334.76	369.84000000000003	352.03999999999996	351.34000000000003	352.08000000000004	347.53999999999996	357.51	344.49	308.74	366.17	295.08000000000004	350.3	341.28	302.33	404.66	334.05	343.84000000000003
10	1782.0	9100.0	417.83000000000004	410.97	439.77	405.59000000000003	408.22	412.83	408.88	422.08000000000004	431.38	423.22	392.66	422.67	428.89	431.78	418.19	408.18	409.51	405.28	437.42	402.27000000000004	423.44	463.0	402.43	395.68	427.30999999999995	406.78	411.38
11	5371.0	12284.0	455.01	418.97	391.89	404.53999999999996	413.74	445.8	440.46000000000004	402.43	411.32	457.55	389.20000000000005	376.1	412.88	437.62	375.65	450.46000000000004	408.98	426.82000000000005	401.35	429.64	400.14	401.0	433.53999999999996	436.05	414.70000000000005	387.9	418.06000000000006
12	1143.0	12385.0	524.0	506.28000000000003	452.38	538.8199999999999	510.84	522.72	496.64	492.6	517.8	502.58000000000004	489.4	468.74	532.57	514.4200000000001	558.54	481.88	501.07000000000005	540.8299999999999	465.82000000000005	439.09000000000003	545.37	463.71000000000004	461.96	455.17	496.36	534.36	540.25
13	17612.0	19839.0	455.30999999999995	461.35	428.5	413.11	517.89	484.1	506.63	509.65999999999997	504.51	420.34000000000003	458.21000000000004	492.84000000000003	473.26	457.08000000000004	517.2	493.85	456.28	523.7	502.84000000000003	510.95	460.3	490.67	564.8199999999999	450.14	485.82	439.4	437.12
14	2183.0	7847.0	359.04	370.68	353.87	357.58000000000004	361.35	356.08000000000004	352.58000000000004	345.5	363.28	360.95	385.12	336.15	369.13	376.77	386.39	342.66	370.40000000000003	382.66999999999996	339.58000000000004	370.18	382.8	348.82	355.20000000000005	373.27000000000004	358.39	342.29	371.93
15	2491.0	3527.0	618.0999999999999	673.66	802.68	500.68	512.17	655.81	532.29	572.61	665.22	694.5799999999999	645.4000000000001	798.96	695.98	550.1400000000001	640.0	886.22	529.36	722.19	501.96	678.38	509.7000000000001	676.2	594.64	568.44	537.0799999999999	431.3	597.08
16	3631.0	17016.0	553.9	530.88	492.32	457.58000000000004	518.47	534.09	526.76	553.08	533.34	485.08000000000004	543.4000000000001	502.38	481.84	523.73	512.8199999999999	520.74	506.08000000000004	563.15	516.55	541.8199999999999	517.6	553.8	443.83000000000004	537.58	504.20000000000005	507.09999999999997	507.03000000000003
17	21469.0	15300.0	564.3199999999999	501.97999999999996	501.74	535.1	508.52	492.94	509.87	499.63999999999993	473.4	553.89	535.5699999999999	539.7	572.1600000000001	531.5	513.12	518.4	587.8800000000001	551.3	424.78	476.53	485.55	513.1700000000001	476.94	526.88	467.86	469.3	490.57
18	6061.0	11174.0	356.3	386.41999999999996	403.70000000000005	426.98	415.18	401.46000000000004	461.34000000000003	400.08000000000004	425.88	439.46000000000004	386.48	435.58000000000004	463.05	447.42999999999995	399.51	474.06	466.47	397.86	360.88	459.87	446.3	400.45000000000005	402.3	424.28	412.96000000000004	422.7	431.54
19	1483.0	21212.0	370.76	370.86	414.06000000000006	419.9	393.34000000000003	303.34000000000003	447.06000000000006	385.94	382.32	390.02	398.78000000000003	387.65	398.03000000000003	395.28000000000003	388.9	392.96999999999997	385.77	388.94	356.03999999999996	390.91999999999996	434.78	372.18	367.74	317.6	390.86	395.84000000000003	342.7
