,Global X,Global Y,CD45RO,N/A,CD31,N/A,N/A,N/A,N/A,pan-CK,PD-1,Ki-67,cyclin D,b-actin,CD3,CD4,N/A,CD16,N/A,N/A,PD-L1,ATPase,Granzyme B,P53,NF-kB,PTEN,p-ERK1/2,N/A,Caspase 3
0,19969,21773,762.45,674.6,618.75,662.06,738.64,718.98,726.56,641,611.42,737.95,669.34,683.3,768.37,690.74,640.19,795.09,735.73,648.88,736.18,521.99,688.17,660.44,647.7,718.08,569.44,606.7,584.74
1,7656,11375,456.38,414.84,415.23,328.88,376.36,378.26,373.12,396.19,391.69,436.59,407.48,388.24,454.41,400.8,373.9,374.44,365.57,397.04,435.09,360.18,324.28,359.58,425.19,376.68,329.16,431.75,411.2
2,929,12284,471.72,539.08,455,538.95,515.16,459.8,513.46,469.26,495.32,541.04,479.65,507.8,479.01,521.08,515.64,533.97,484.18,428.04,490,514.18,460.78,518.83,499.56,530.3,458.56,446.96,486.4
3,11416,13426,517.78,432.13,439.97,434.98,431.98,403.88,432.93,378.98,418.04,481.06,425.68,435.02,482.93,422.67,387.96,482.46,409.07,411.1,446.05,408.7,447.18,415.2,458.38,421.9,424.86,389.65,416.24
4,2003,12020,412.97,354.08,354.46,364.82,372.34,353.63,357.24,340.92,354.86,412.8,398.92,340.16,432.58,373.7,337.23,388.02,345.1,328.96,426.1,339.28,327.96,361.68,365.27,355.64,380.45,347.02,351.97
5,3416,16902,533.79,534.88,502.86,512.34,482.08,516.48,499.38,513.13,496.16,551.1,554.42,458.88,569.22,537.3,505.7,454.86,528.46,494.56,430.24,510.52,537.26,503.21,504.48,524.4,550.33,469.5,499.18
6,5846,11080,419.37,397.28,418.91,408.92,408.24,447.01,357.68,414.16,415.78,449.91,377.66,442.98,510.06,448.75,408.74,390.55,386.84,425.22,426.25,391.07,372.28,401.18,422.5,437.29,440.15,443.1,396.07
7,16061,19775,573.3,504.41,592.05,483.99,489.16,564.58,477.09,531.39,526.14,531.2,537.9,558.16,530.78,514.1,535.78,538.79,537.67,541.08,592.79,512.82,540.78,470.2,511.23,586,530.18,482.58,541.38
8,5164,11019,369.06,352.08,364.64,386.61,337.86,345.85,403.28,363.9,358.69,415.66,387.54,331.9,420.27,395.74,374.8,318.62,352.77,369.68,386.6,357.66,389.83,354.9,415.62,373.91,326.88,363.39,380.83
9,10481,12639,336.06,355.01,382.9,312.99,328.63,324.98,333.39,332.82,316,379.99,351.33,362.86,398.92,351,332.96,313.12,324.96,344.21,376.38,286.34,337.74,351.56,358.1,336.36,216.82,345.48,311.99
10,10171,18186,543.31,541.4,502.1,457.55,532.67,547.63,418.36,501.06,437.8,611.36,624.08,531.4,646.28,549.68,555.44,571.26,577.17,585.84,538.75,499.69,608.42,434.2,568.52,528.3,541.76,509.56,524.76
11,11646,18293,512.18,504.91,574,512.69,553.88,552.58,546.08,551.46,480.08,640.52,480.74,582.1,603.5,539.9,535.77,591.86,597.36,578.64,369.36,478.33,478.86,602.42,575.55,549,609.08,551.76,484.42
12,6222,20718,598.15,568.19,534.68,473.92,501.6,536.64,506.46,517.98,513.96,563.4,541.34,534.6,569.59,532.5,521.54,511.35,485.1,516.78,383.51,566.99,460.22,448.25,495.4,451.92,496.92,523.36,515.38
13,1086,5719,427.64,387.88,382.19,492.21,419.64,561,405.85,407.84,411.96,415.38,450.59,448.74,458.38,439.7,367.78,421.68,443.06,403.94,437.66,364.9,380.84,430.3,395.73,433.98,384.58,360.41,405.21
14,9291,12173,448.34,368.66,403.82,374.37,377.4,355.88,448.4,413.77,373.88,488.4,495.7,398.7,494.96,499.56,482.76,484.89,487.02,366.58,341.98,383.14,384.64,359.18,484.78,408.6,539.76,375.67,374.34
15,974,10563,481.19,428.2,413,509.31,447.8,416.12,453.76,415.98,546.31,464.6,546.35,437.6,533.13,400.14,398.15,436.51,441.78,468.09,564.41,581.58,390.5,460.24,428.88,448.78,513.98,417.95,428.56
